"signature_id","reader_label","genes_n","biological_family","derivation_group","source_material","source_contrast_or_method","direction","asthma_specificity","primary_reference","exact_list_locator_or_status","traceability_grade","interpretation_limit","required_dissertation_action"
"IL13_stimulated_HBECs","IL-13-stimulated airway epithelium",66,"Type 2 / eosinophil / epithelium","Airway/cell perturbation","Human bronchial epithelial cells","IL-13 response in airway epithelial cells","Response/enrichment score","Direct airway-asthma relevance","Alevy et al. (2012), J Clin Invest, doi:10.1172/JCI64896","Frozen 66-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Exact 66-gene derivation was not independently reconstructed from the paper supplement.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"ILC2_up_PMID26878113","ILC2-enriched genes",42,"Type 2 / eosinophil / epithelium","Immune-cell reference","Human blood ILC subsets","ILC2-enriched versus other ILC subsets","Up/enriched","Indirect immune-cell relevance","Björklund et al. (2016), Nat Immunol, doi:10.1038/ni.3368","Frozen 42-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","A cell-enrichment score is not an ILC2 cell count.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Th2_activated","Activated Th2 cells",67,"Type 2 / eosinophil / epithelium","Immune-cell reference","Human CD4+ T-cell subsets","Activated Th2-associated expression","Activated/enriched","Indirect immune-cell relevance","Zhang et al. (2013), J Allergy Clin Immunol, doi:10.1016/j.jaci.2013.05.033","Frozen 67-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","Exact 67-gene construction needs the source supplement; not a direct Th2 cell count.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Eosinophils","Eosinophil-associated genes",9,"Type 2 / eosinophil / epithelium","Asthma/airway-derived","Human airway eosinophils","Genes expressed by airway eosinophils after allergen challenge","Associated/enriched","Direct airway-asthma relevance","Esnault et al. (2013), PLoS One, doi:10.1371/journal.pone.0067560","Frozen nine-gene analysis list; source-list reconstruction is incomplete and legacy symbols require disclosure.","C","Contains legacy EMR symbols and LGAL312, likely a non-current/erroneous symbol; preserve for reproducibility but do not overinterpret.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"TAC1","TAC1 eosinophilic/Type-2 programme",20,"Type 2 / eosinophil / epithelium","Asthma-cohort-derived","U-BIOPRED sputum","508 eosinophilic-versus-noneosinophilic sputum DE genes clustered into TACs","TAC1 centroid genes","Direct U-BIOPRED asthma derivation","Kuo et al. (2017), Eur Respir J, doi:10.1183/13993003.02135-2016","Kuo et al. (2017) TAC1 20-gene centroid/signature used in the U-BIOPRED sputum TAC analysis.","A","Use as a continuous TAC1 programme score, not as assignment to TAC1 membership.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Severe_asthma_eosinophil_signature","Severe-asthma eosinophil panel",8,"Type 2 / eosinophil / epithelium","Asthma-cohort-derived","Severe-asthma eosinophil studies","Small eosinophil-marker panel inherited from the supplied library","Associated marker panel","Asthma-associated but exact construction unresolved","Sridhar et al. (2019), Respir Res, doi:10.1186/s12931-018-0968-8","Frozen eight-gene analysis list; exact publication/supplement construction was not independently reconstructed.","C","Biological rationale is supported, but the exact eight-gene derivation was not reconstructed.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"IL5_signalling_ref24","IL-5-responsive airway epithelium",70,"Type 2 / eosinophil / epithelium","Airway/cell perturbation","Differentiated human airway epithelium","IL-5 exposure response","Response score","Direct airway response; asthma context","Barretto et al. (2020), Allergy, doi:10.1111/all.14397; GEO GSE147341","Frozen 70-gene analysis list linked to Barretto et al. and GEO GSE147341; exact inclusion/direction rule remains incomplete.","B","The 70-gene inclusion/direction rule was not fully recoverable from the article alone.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"IL13_signalling_ref26","IL-13 signalling (duplicate list)",66,"Type 2 / eosinophil / epithelium","Airway/cell perturbation","Human bronchial epithelial cells","Exact same 66 genes as IL13_stimulated_HBECs","Response score","Direct airway-asthma relevance","Alevy et al. (2012), J Clin Invest, doi:10.1172/JCI64896","Exact duplicate of the frozen IL13_stimulated_HBECs 66-gene list.","B","Exact duplicate of IL13_stimulated_HBECs; it is not independent evidence.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"ILC1_cells","ILC1-enriched genes",61,"Innate / neutrophil / inflammasome","Immune-cell reference","Human blood ILC subsets","ILC1-enriched versus other ILC subsets","Enriched","Indirect immune-cell relevance","Björklund et al. (2016), Nat Immunol, doi:10.1038/ni.3368","Frozen 61-gene analysis list; exact source-supplement locator was not independently reconstructed.","B","A cell-enrichment score is not an ILC1 cell count.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
"Inflammasome","NLRP3 inflammasome",5,"Innate / neutrophil / inflammasome","Asthma/airway-derived","Induced sputum","Five selected inflammasome components linked to neutrophilic asthma","Selected components","Direct neutrophilic-asthma relevance","Simpson et al. (2014), Eur Respir J, doi:10.1183/09031936.00105013","Frozen five-gene selected component panel; it is not a complete canonical inflammasome list.","C","A selected five-gene component panel is not the complete inflammasome pathway.","Retain analysed score; report provenance grade and limitation; do not change genes post hoc."
